No opinion either way,"Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,,,,,,,
"Yes, probably",No opinion either way,"Yes, definitely",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely","Yes, probably","Yes, definitely","Yes, probably","Yes, definitely",Online meetups & easy to acces locations in Antwerp or Ghent. Our young talent are the ones with the most transportation troubles.,Probably not our role,"Yes, definitely","Yes, probably","No, not our role","Yes, probably",Properly distinguishing all aspects of data science. Visualisation/engineering/business/science+R&D/... This way people know where to lay there expertise.,"Our email newsletter, LinkedIn, blog.","I don't care about their names, only their results.","I don't care about their names, only their results.","Currently Data Mining (Illinois/Coursera), next Python and C for science, mongodb Hadoop mapR for engineering","Long, but a good incentive (data innovation summit pass).","Places with wifi & *accessible by public transport*. Public transport from Ghent, a major university city, is 1:30 hours and the main reason I can't get to every meetup.","YES! Connecting people, MOOC COACHING. Participating in hackathons where I can help, learn, or connect."
"Yes, probably",No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,datatau.com,-,-,-,-,-,"Definitely! As the leader of the Belgian Tableau Software meetup group, I'm up for a joint session on data science & visualisation.   Furthermore, I'm also happy to help organise hands-on activities. We have some cool big data + data science + visualisation example use cases which could be used in a hands-on session."
"Yes, probably","Yes, probably",Probably not our role,No opinion either way,"Yes, definitely",,No opinion either way,"Yes, probably",No opinion either way,"Yes, probably","Yes, definitely",,LinkedIn,,Bart Baessens,Data Innovation summit,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably",Probably not our role,,Probably not our role,"Yes, probably",Probably not our role,Probably not our role,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, definitely","Yes, probably",,MOOCs,no idea - maybe Ray Kurzweil,no idea,Mining Massive Datasets (Stanford),,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","No, not our role","Yes, probably",,"No, not our role","Yes, probably","Yes, probably","No, not our role","Yes, probably",,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,"No, not our role",No opinion either way,No opinion either way,"No, not our role",,No opinion either way,"No, not our role","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
,,,,,,,,,,,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Yes, probably",Probably not our role,"Yes, probably","Yes, probably","Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,The internet,,Daan Gerits / Wim Van Leuven,,,,
"Yes, probably",No opinion either way,"Yes, probably",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely",No opinion either way,"No, not our role","No, not our role","Yes, probably",,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,google,Nobody in particular,Nobody in particular,,,,
"Yes, probably","Yes, definitely",No opinion either way,"Yes, probably","Yes, probably",,Probably not our role,No opinion either way,Probably not our role,"Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,No opinion either way,"Yes, probably","Yes, definitely",Probably not our role,"Yes, definitely",,,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,_,_,_,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,No opinion either way,No opinion either way,"Yes, probably","Yes, probably","Yes, probably",,none,none,none,none,no,no idea,no
"Yes, probably","No, not our role","No, not our role","No, not our role","Yes, probably",,No opinion either way,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,No opinion either way,"Yes, definitely","Yes, probably","Yes, probably",,,,,,,,
,,,,,,,,,,,,,,,,,,
"No, not our role","No, not our role","Yes, probably","No, not our role","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,books,no idea,no idea,no idea,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,Probably not our role,"Yes, probably","Yes, definitely","Yes, probably",No opinion either way,,,,,,Thanks for the job you are doing through this platform / very nice to have this kind of community in Belgium. I give you my full support to continue it.,,Why not - through my job i try to mix process optimization and data science. I'm considering as raw matter to exploit and to give us a real competitive advantage. I thus have a view on what data science can bring to process industries.
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, definitely",,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,No opinion either way,,internet - news,?,?,?,,,No
"Yes, definitely","Yes, definitely","Yes, probably","Yes, probably",No opinion either way,,"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, probably","Yes, definitely","Yes, definitely",,www.data.be,,,,,,I would like to help to organize the data science community but I don't know how. I'm curious and have no skills in data science. That's why I want to help to improve and learn with a passionate and professional.
"Yes, definitely","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,"No, not our role",Probably not our role,"Yes, probably","No, not our role",No opinion either way,,Books; Web,,,,,,
"Yes, probably",No opinion either way,"Yes, probably",No opinion either way,"Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,reddit,Nate Silver,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,"Yes, definitely",No opinion either way,No opinion either way,No opinion either way,"Yes, definitely",,,,,,,,
"Yes, probably","Yes, definitely",Probably not our role,Probably not our role,"Yes, probably",,"Yes, probably",No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably",No opinion either way,"Yes, definitely",,"Yes, probably","Yes, probably",Probably not our role,Probably not our role,"Yes, definitely",,N/A,N/A,N/A,N/A,It was good and clear.,,
"Yes, definitely","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably",No opinion either way,"No, not our role","Yes, probably",,meetup.com,-,-,phyton programming,,,"No thank you, I would rather just participate for now."
"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, definitely","Yes, definitely","Yes, definitely","Yes, probably",No opinion either way,,No opinion either way,"Yes, definitely",No opinion either way,No opinion either way,"Yes, definitely",,Social networks,Andrew Ng,,Machine learning,,Some forum where people can share the projects they are working on and get feedback from others,"Yes! I feel like I have a unique profile in this community, I just finished studying at uni so I am quite young and I am female (which in itself is relatively rare in data science). Every day I am working hard to improve my technical skills and it is my dream to become a technically skilled data scientist. In that sense I believe I could contribute in opening young girls' eyes that they too can find something interesting for them in data science. Whether I am already skilled enough to guide hands-on trainings I am not sure, but I would love to for example to write a blog and reach out to people in that way."
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably",No opinion either way,"Yes, probably","Yes, definitely",,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,No opinion either way,,,,,,,,
No opinion either way,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,Probably not our role,No opinion either way,"Yes, probably",Probably not our role,No opinion either way,,bloomberg,,,,,,no
"Yes, definitely",No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","No, not our role","Yes, probably",,kdnuggets,,,,,,No
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,not known,not known,not known,not known,none,none,no
No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably","Yes, probably","No, not our role",,"Yes, definitely","Yes, definitely","Yes, definitely","No, not our role","Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,Present cases to transfer knowledge about a certain topic
"Yes, definitely","Yes, probably",No opinion either way,"Yes, probably","Yes, probably",,No opinion either way,No opinion either way,"Yes, probably",No opinion either way,"Yes, probably",,internet,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably",Probably not our role,"Yes, probably",,Probably not our role,Probably not our role,No opinion either way,"No, not our role","Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
"Yes, probably",No opinion either way,No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,,,,,,,
No opinion either way,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,,No opinion either way,"Yes, probably","Yes, probably","Yes, definitely","No, not our role",,"KDD, Udacity, Coursera",Andrew Ng,,Neural Networks,,,
"Yes, definitely","Yes, definitely","Yes, probably",No opinion either way,No opinion either way,,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,,,,,,,
"No, not our role","No, not our role","No, not our role","No, not our role","Yes, probably",,"No, not our role","No, not our role","No, not our role","No, not our role","No, not our role",,rbloggers,hadley wikham,?,?,-,-,no plans at the moment
,,,,,,,,,,,,,,,,,,
"Yes, probably",No opinion either way,"No, not our role",No opinion either way,"Yes, probably",,Probably not our role,"Yes, probably","Yes, probably","Yes, probably",No opinion either way,,-,-,-,-,No,-,No
"Yes, definitely",No opinion either way,Probably not our role,No opinion either way,"No, not our role",,"Yes, probably","Yes, definitely",Probably not our role,Probably not our role,"Yes, definitely",,,,,,,,
"Yes, definitely","Yes, probably",Probably not our role,No opinion either way,"Yes, definitely",,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",,,,,,,,
"Yes, definitely",No opinion either way,No opinion either way,Probably not our role,"Yes, probably",,No opinion either way,"Yes, definitely","Yes, probably","Yes, probably","Yes, definitely",,,,,,,,
No opinion either way,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,No opinion either way,,,,,,,,
No opinion either way,"Yes, probably","Yes, definitely",No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably","Yes, definitely",Probably not our role,"Yes, definitely",,Books,I have no idea,I have no idea,CS190.1x Scalable Machine Learning,,,
"Yes, probably","Yes, probably",No opinion either way,No opinion either way,No opinion either way,,No opinion either way,No opinion either way,"Yes, probably","Yes, probably",No opinion either way,,web,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably",No opinion either way,No opinion either way,,No opinion either way,No opinion either way,No opinion either way,No opinion either way,"Yes, probably",,,,,,,,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, definitely",No opinion either way,"Yes, definitely",,,,,,,,
"Yes, definitely",No opinion either way,"Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, definitely","Yes, definitely","Yes, definitely",,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably",No opinion either way,Probably not our role,"Yes, definitely",,,,,,,,
"Yes, definitely","Yes, definitely",No opinion either way,No opinion either way,"Yes, probably",,No opinion either way,"Yes, probably","Yes, probably","Yes, probably","Yes, probably",,My employer & Internet,No opinion,No opinion,No idea yet,,,"Yes, willing to play an active role. My contributon could be to lead/ moderate/ facilitate some of the activities and/or thematic meetup evenings.   My skills & experience:   *language skills: fluent english,  french & dutch  *people skills: working with diversity of professionals sinc more than 25yrs  *business oriented skills: used to look at the contribution of technology to the relevance for business & society"
"Yes, probably","Yes, probably","Yes, probably",Probably not our role,"Yes, probably",,"Yes, probably","Yes, probably",No opinion either way,No opinion either way,"Yes, probably",,,,,,,,
"Yes, definitely","Yes, probably","Yes, probably",No opinion either way,Probably not our role,,No opinion either way,Probably not our role,No opinion either way,Probably not our role,"Yes, probably",,twitter,,,,"too long, should be done more often but in smaller chunks",,
"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,"Yes, probably","Yes, probably","Yes, probably","Yes, probably","Yes, probably",,,,,,,,
