RespondentID,CollectorID,StartDate,EndDate,What is your age?,What is your gender?,In what type of organisation are you employed?,other organisation type,Approximately how many individuals does your organization employ at all locations?,What is your position in the organisation's hierarchy,"organisation-role:marketing
",organisation-role: sales,organisation-role: finance,organisation-role: production,organisation-role: R&D,organisation-role: IT,organisation-role: Support,organisation-role: other,What is your organisation's industry?,"Other industry of organisation
",What is your highest degree?,other degree,Type of Studies : Science or mathematics,"
",Type of Studies : ICT,Type of Studies : Commerce,Type of Studies : Social sciences,Type of Studies : Law,Type of Studies : Other,How many years have you worked in Data Science or related field?,"Rating 1-5: Algorithms (ex: computational complexity, CS theory)",Rating 1-5: Back-End Programming (ex: JAVA/Rails/Objective C),"Rating 1-5: Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)","Rating 1-5: Big and Distributed Data (ex: Hadoop, Map/Reduce)","Rating 1-5: Business (ex: management, business development, budgeting)","Rating 1-5: Classical Statistics (ex: general linear model, ANOVA)","Rating 1-5: Data Manipulation (ex: regexes, Python, R, SAS, web scraping)","Rating 1-5: Front-End Programming (ex: java script, HTML, CSS)","Rating 1-5: Graphical Models (ex: social networks, Bayes networks)","Rating 1-5: Machine Learning (ex: decision trees, neural nets, SVM, clustering)","Rating 1-5: Math (ex: linear algebra, real analysis, calculus)","Rating 1-5: Optimization (ex: linear, integer, convex, global)","Rating 1-5: Product Development (ex: design, project management)","Rating 1-5: Science (ex: experimental design, technical writing/publishing)","Rating 1-5: Simulation (ex: discrete, agent-based, continuous)","Rating 1-5: Spatial Statistics (ex: geographic covariates, GIS)","Rating 1-5: Structured Data (ex: RDBMS, SQL, JSON, XML, ETL)",Rating 1-5: Surveys and Marketing (ex: multinomial modeling),"Rating 1-5: Systems Administration (ex: *nix, DBA, cloud tech.)","Rating 1-5: Temporal Statistics (ex: forecasting, time-series analysis)","Rating 1-5: Unstructured Data (ex: noSQL, text mining)","Rating 1-5: Visualization (ex: statistical graphics, mapping, web-based data‐viz)",Which important skill did we leave out?,Data scientist type: developer,Data scientist type: Engineer,Data scientist type: Researcher,Data scientist type: Scientist,Data scientist type: Statistician,Data scientist type: Jack-of-all-trades,Data scientist type: Artist,Data scientist type: Hacker,Data scientist type: Leader,Data scientist type: Business person,Data scientist type: Entrepreneur,Data scientist type: Other,Motivation: I've never attended one of those meetings,"Motivation: Socialising, interacting with like-minded people","Motivation:Networking, business to business","Motivation: Networking, meeting potential employers","Motivation: Networking, meeting potential employees",Motivation: Learn about new developments in Data Science,Motivation: Hear what's happening on the Belgian Data Science scene,"Motivation: Contributing (e.g., presenting, taking actively part to discussions)",Motivation: Other,"Do you have suggestions to improve the meetings, or suggestions for potential speakers?"
3836060277,65397871,3/17/2015 15:19:44,3/17/2015 15:27:47,35 to 44,Male,Government/Public sector,,35,No management responsibilities,,,,,R&D,,,,Government/Public sector,,Master after Master,,,Engineering,,,,,,12,5,4,5,3,4,4,4,5,2,4,5,4,3,4,4,2,3,3,2,4,2,3,,Maybe,"Yes, but not completely","Yes, but not completely","Yes, but not completely",Maybe,Maybe,Maybe a bit,Not at all,"Yes, but not completely","Yes, but not completely","Yes, but not completely",,I've never attended one of those meetings,,,,,,,,,
3836031127,65397871,3/16/2015 8:29:50,3/17/2015 15:36:34,45 to 54,Male,Consulting,,4500,Middle level/executive,Marketing,Sales,,,,,,,IT and technology,,Master,,,Engineering,ICT,,,,,1,1,1,1,3,4,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,,Not at all,"Yes, definitely",Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Maybe,Maybe,"Yes, but not completely",,I've never attended one of those meetings,,"Networking, business to business","Networking, meeting potential employers",,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835994392,65397871,3/17/2015 14:57:50,3/17/2015 14:59:23,35 to 44,Male,Business or NGO,,5000,Middle level/executive,,,,,,,Support,,Energy and natural resources,,Master,,,,,,Social sciences or humanities,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3835992902,65397871,3/17/2015 14:57:17,3/17/2015 15:07:52,35 to 44,Male,Consulting,,2000,Top level/administrative,,,,,,,,Director Big Data & Analytics,Professional services,,Master,,,,,,,,Applied Economics,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,4,3,3,2,3,4,Agile management,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Maybe a bit,Maybe a bit,Maybe a bit,,,"Socialising, interacting with like-minded people","Networking, business to business",,"Networking, meeting potential employees",,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835980539,65397871,3/17/2015 14:52:06,3/17/2015 15:05:46,25 to 34,Female,Consulting,,1200,Middle level/executive,Marketing,,,,,,,,IT and technology,,Master,,,,,Commerce,,,,1,3,1,1,1,5,3,1,1,1,2,1,1,5,1,1,1,1,5,1,1,1,2,linking it en business,Not at all,Not at all,Not at all,Not at all,"Yes, but not completely",Not at all,Maybe,Not at all,Not at all,"Yes, definitely",Not at all,,,,,,,Learn about new developments in Data Science,,,,
3835973532,65397871,3/17/2015 14:49:53,3/17/2015 15:01:04,35 to 44,Male,Business or NGO,,4000,Lower level/supervisory/operative/first-line manager,,,,,,,,Pricing,Financial services,,Master,,,,,,,,Economics,12,3,1,4,1,5,4,3,2,2,2,4,3,4,3,4,4,2,2,1,3,1,2,,Maybe,Maybe,Maybe,"Yes, but not completely","Yes, definitely",Maybe a bit,Maybe,Not at all,"Yes, but not completely","Yes, but not completely",Maybe a bit,,,"Socialising, interacting with like-minded people","Networking, business to business",,"Networking, meeting potential employees",Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3835801779,65397871,3/17/2015 13:52:18,3/17/2015 14:18:42,45 to 54,Male,Business or NGO,,2,Top level/administrative,Marketing,Sales,,,,,,,"Communications, entertainment, media and publishing",,Master,,,,,Commerce,,,,15,2,2,1,2,5,2,1,3,2,2,2,2,5,1,2,2,3,5,3,3,3,3,,Maybe a bit,Not at all,Maybe a bit,Not at all,Maybe a bit,Maybe a bit,Maybe a bit,"Yes, but not completely","Yes, but not completely","Yes, definitely","Yes, definitely",,,"Socialising, interacting with like-minded people","Networking, business to business","Networking, meeting potential employers","Networking, meeting potential employees",Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835778424,65397871,3/17/2015 13:39:43,3/17/2015 13:55:41,25 to 34,Female,Consulting,,2000,Middle level/executive,Marketing,,,,,,,,IT and technology,,Master,,,,,,,,Communication,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Maybe a bit,Not at all,Not at all,"Yes, but not completely",Not at all,,I've never attended one of those meetings,,,,,,Hear what's happening on the Belgian Data Science scene,,,
3835738671,65397871,3/17/2015 13:27:56,3/17/2015 13:42:30,45 to 54,Male,Business or NGO,,5000,Middle level/executive,,,,,,,Support,,Energy and natural resources,,PhD,,Science or mathematics,,,,,,,15,3,3,2,2,4,5,4,1,3,5,4,1,1,3,1,1,3,4,1,3,2,3,Sampling,Not at all,Not at all,"Yes, definitely","Yes, definitely","Yes, definitely",Not at all,"Yes, definitely",Not at all,Maybe,Not at all,Not at all,Analyst,I've never attended one of those meetings,"Socialising, interacting with like-minded people",,,,Learn about new developments in Data Science,,,,
3835706991,65397871,3/17/2015 12:39:09,3/17/2015 13:58:27,18 to 24,Male,Independent,,0,No management responsibilities,Marketing,Sales,Finance,,,,,,Professional services,,Master,,,,,Commerce,,,,1,1,1,1,1,4,4,3,1,2,2,3,3,3,2,2,1,1,2,1,4,1,2,,Not at all,Not at all,Maybe,Maybe a bit,Maybe a bit,Maybe a bit,Not at all,Maybe,Maybe,"Yes, definitely","Yes, definitely",,I've never attended one of those meetings,"Socialising, interacting with like-minded people","Networking, business to business","Networking, meeting potential employers","Networking, meeting potential employees",Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835702740,65397871,3/17/2015 13:14:03,3/17/2015 13:28:55,25 to 34,Male,Academia,,3000,No management responsibilities,,,,,,,,Phd Research,Other (please specify),Bioinformatic,Master,,,,,,,,statistics,4,3,2,2,2,2,3,5,4,3,5,4,2,1,3,2,1,1,3,1,4,1,2,,Maybe,Maybe a bit,"Yes, but not completely","Yes, but not completely","Yes, definitely",Maybe a bit,Maybe a bit,Not at all,Maybe a bit,Maybe,Maybe a bit,,,"Socialising, interacting with like-minded people",,"Networking, meeting potential employers",,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3835648231,65397871,3/17/2015 12:51:17,3/17/2015 12:59:48,25 to 34,Male,Consulting,,40,Middle level/executive,,,,,R&D,IT,,,IT and technology,,PhD,,,,ICT,,,,,8,5,3,4,3,2,5,4,2,5,5,5,5,3,5,3,2,4,4,2,3,5,3,,Maybe,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, but not completely",Maybe,"Yes, definitely",Maybe,"Yes, definitely",Maybe a bit,Not at all,,,"Socialising, interacting with like-minded people","Networking, business to business",,,,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835619251,65397871,3/17/2015 12:38:34,3/17/2015 12:40:03,35 to 44,Female,Business or NGO,,60000,No management responsibilities,,,,,R&D,,,,IT and technology,,PhD,,Science or mathematics,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3835593717,65397871,3/17/2015 12:26:21,3/17/2015 13:20:03,35 to 44,Male,Consulting,,50+,Middle level/executive,Marketing,Sales,,,,,,,IT and technology,,Master,,,,,Commerce,,,,10,2,1,1,4,5,2,3,1,2,3,1,1,2,3,3,4,2,5,1,2,3,2,All are Covered,Not at all,Maybe a bit,Maybe,Not at all,Maybe a bit,Maybe a bit,Not at all,Maybe a bit,Maybe a bit,"Yes, definitely","Yes, definitely",,,"Socialising, interacting with like-minded people","Networking, business to business","Networking, meeting potential employers",,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3835533014,65397871,3/17/2015 11:56:55,3/17/2015 11:57:13,18 to 24,Female,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3835493200,65397871,3/17/2015 11:33:56,3/17/2015 11:38:30,25 to 34,Male,Academia,,200,No management responsibilities,Marketing,,,,R&D,,,,Education,,PhD,,,,,Commerce,,,,9,1,1,1,2,4,4,5,3,1,5,3,3,1,5,2,1,2,4,2,3,3,2,,"Yes, but not completely",Maybe a bit,"Yes, definitely","Yes, definitely",Maybe,"Yes, definitely",Maybe,"Yes, but not completely",Maybe a bit,Maybe,Maybe,,,"Socialising, interacting with like-minded people","Networking, business to business",,,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3835457170,65397871,3/17/2015 11:10:09,3/17/2015 11:19:58,45 to 54,Male,Business or NGO,,10,Top level/administrative,,,,,,,,Managing Director,IT and technology,,PhD,,,Engineering,,,,,,21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,Maybe,"Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely","Yes, definitely",Not at all,Not at all,"Yes, definitely","Yes, definitely","Yes, definitely",,I've never attended one of those meetings,,,,,,,,,
3835411366,65403283,3/17/2015 10:38:58,3/17/2015 10:48:17,25 to 34,Male,Academia,,1200,Middle level/executive,,,,,R&D,,,Teaching,Education,,PhD,,,,ICT,,,,,9,3,3,2,3,1,3,2,4,2,3,3,2,3,5,3,2,4,2,1,1,3,5,,Maybe,Maybe,"Yes, definitely","Yes, definitely",Maybe a bit,"Yes, but not completely","Yes, but not completely",Maybe,Maybe a bit,Not at all,Not at all,,I've never attended one of those meetings,"Socialising, interacting with like-minded people","Networking, business to business",,,,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",Observe the needs of the Belgian data science community in terms of teaching,
3835376290,65397871,3/17/2015 10:13:24,3/17/2015 19:22:04,45 to 54,Male,Independent,,1,Top level/administrative,Marketing,,,,,,,,Professional services,,Master after Master,,,Engineering,,Commerce,,,,20,1,1,4,1,5,2,1,2,1,1,4,3,5,5,3,1,3,5,1,4,3,3,Big Data Value Creation,Maybe a bit,Maybe,Not at all,Maybe a bit,Maybe,Maybe a bit,"Yes, but not completely",Not at all,"Yes, definitely","Yes, definitely","Yes, definitely",,,,"Networking, business to business","Networking, meeting potential employers",,Learn about new developments in Data Science,,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835324290,65397871,3/17/2015 9:30:00,3/17/2015 9:51:28,35 to 44,Male,Independent,,1,Top level/administrative,Marketing,,,,R&D,IT,,,IT and technology,,Bachelor,,,,ICT,,,,,10,4,5,2,2,4,2,2,4,3,2,3,2,4,2,1,2,5,5,4,2,2,3,,"Yes, but not completely","Yes, but not completely",Maybe a bit,Not at all,Maybe a bit,Not at all,Not at all,Maybe a bit,"Yes, but not completely",Maybe,"Yes, but not completely",,,,"Networking, business to business","Networking, meeting potential employers",,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3835303166,65397871,3/17/2015 9:15:29,3/17/2015 9:29:26,25 to 34,Female,Consulting,,5000,No management responsibilities,,Sales,,,,,,,IT and technology,,Master,,,,,,Social sciences or humanities,,,9,1,1,1,2,1,5,5,1,2,5,2,1,1,3,1,2,5,3,1,2,5,5,Presentation skills,Not at all,Not at all,Maybe a bit,Maybe a bit,"Yes, but not completely",Maybe,Maybe a bit,Not at all,"Yes, definitely","Yes, but not completely",Maybe a bit,Evangelist,I've never attended one of those meetings,,,,,,,,,
3835254692,65397871,3/17/2015 8:35:07,3/17/2015 8:44:19,25 to 34,Male,Academia,,3000,No management responsibilities,,,,,,,,Phd Research,Other (please specify),Bioinformatic,Master,,,,,,,,statistics,4,3,1,3,2,3,3,5,3,4,4,3,3,1,1,1,2,1,3,1,1,2,2,,Maybe,Maybe a bit,"Yes, but not completely","Yes, but not completely","Yes, definitely",Maybe a bit,Maybe a bit,Not at all,Maybe,Maybe a bit,Maybe a bit,,,,,"Networking, meeting potential employers",,Learn about new developments in Data Science,,,,
3835252434,65397871,3/17/2015 8:33:22,3/17/2015 8:43:52,45 to 54,Male,Independent,,1,Top level/administrative,Marketing,Sales,Finance,Production,R&D,IT,Support,Jack of all trades,IT and technology,,Master,,,Engineering,,,,,,5,4,4,2,3,3,3,5,5,2,2,4,3,4,3,3,2,5,2,4,3,3,4,Defining the right problem/question.  Figuring out workable solutions.,"Yes, definitely","Yes, definitely",Maybe,"Yes, but not completely",Maybe,"Yes, definitely",Maybe a bit,"Yes, definitely","Yes, definitely","Yes, but not completely","Yes, definitely",,,"Socialising, interacting with like-minded people","Networking, business to business",,,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3835222025,65397871,3/17/2015 8:01:23,3/17/2015 8:16:17,35 to 44,Male,Business or NGO,,300000,No management responsibilities,,,,,,IT,,,IT and technology,,Master after Master,,,Engineering,,,,,,2,1,1,2,3,1,2,2,2,1,2,3,2,3,2,1,1,4,1,4,2,3,2,,Maybe a bit,"Yes, but not completely",Maybe a bit,Maybe a bit,Maybe,Maybe a bit,Maybe,Not at all,Maybe,Maybe a bit,Maybe a bit,,,"Socialising, interacting with like-minded people",,,,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3835218221,65397871,3/17/2015 7:59:10,3/17/2015 8:08:22,45 to 54,Male,Independent,,2,No management responsibilities,,,,,,IT,,,Retail/Wholesale,,Master,,,Engineering,,,,,,20,3,4,1,3,1,3,4,3,2,2,2,2,3,2,2,2,4,2,4,2,3,2,cooking a curry,"Yes, definitely","Yes, definitely",Maybe a bit,Maybe a bit,Maybe,"Yes, definitely",Maybe a bit,Maybe,Maybe a bit,Not at all,Maybe a bit,,I've never attended one of those meetings,,,,,,,,,Good coffee.
3835214894,65397871,3/17/2015 7:56:13,3/17/2015 8:23:12,35 to 44,Male,Consulting,,188292,Top level/administrative,,,,,,,,Advisory services,Financial services,,PhD,,,Engineering,,,,,,16,3,2,2,3,5,4,3,3,3,5,4,4,3,4,4,4,5,4,1,3,3,5,,Maybe,"Yes, definitely",Maybe,"Yes, but not completely","Yes, but not completely",Maybe,Maybe,Not at all,"Yes, definitely","Yes, definitely","Yes, but not completely",,I've never attended one of those meetings,"Socialising, interacting with like-minded people","Networking, business to business",,,Learn about new developments in Data Science,,"Contributing (e.g., presenting, taking actively part to discussions)",,
3834503847,65397871,3/16/2015 22:12:21,3/16/2015 22:18:13,25 to 34,Female,Student,,0,No management responsibilities,,,,,R&D,,,,Other (please specify),Insurance,Master,,Science or mathematics,,,Commerce,,,,4,2,1,2,1,4,4,3,1,2,3,4,1,3,1,1,1,4,4,1,4,1,3,Risk management,Not at all,Maybe a bit,Maybe a bit,Maybe a bit,Maybe,Maybe a bit,Maybe a bit,Not at all,"Yes, but not completely","Yes, but not completely",Not at all,,I've never attended one of those meetings,"Socialising, interacting with like-minded people",,"Networking, meeting potential employers",,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
3834327410,65397871,3/16/2015 20:51:15,3/16/2015 21:13:20,25 to 34,Male,Business or NGO,,3,Top level/administrative,Marketing,Sales,,,,IT,,,IT and technology,,Master,,Science or mathematics,,,,,,,7,2,4,1,3,1,3,4,4,1,3,2,1,3,4,1,2,4,2,3,2,3,5,,"Yes, but not completely",Maybe a bit,Maybe,"Yes, but not completely",Maybe a bit,"Yes, definitely",Maybe a bit,"Yes, definitely",Maybe,Maybe,"Yes, but not completely",,I've never attended one of those meetings,,,,,,,,,
3834312799,65397871,3/16/2015 20:46:26,3/16/2015 20:46:50,25 to 34,Male,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3834133572,65397871,3/16/2015 19:36:50,3/16/2015 19:49:11,35 to 44,Male,Consulting,,1,Middle level/executive,,,,,,,,Supply Chain,IT and technology,,Master after Master,,Science or mathematics,,,,,,Economics,6,3,2,2,2,5,3,2,2,2,3,3,4,5,2,2,2,4,3,1,2,4,5,,Maybe a bit,Maybe,"Yes, but not completely","Yes, but not completely","Yes, but not completely","Yes, definitely",Maybe,Maybe a bit,"Yes, definitely","Yes, definitely","Yes, definitely",,I've never attended one of those meetings,"Socialising, interacting with like-minded people","Networking, business to business",,,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,"Contributing (e.g., presenting, taking actively part to discussions)",,
3834130857,65397871,3/16/2015 19:30:34,3/16/2015 19:54:26,25 to 34,Female,Independent,,1,Top level/administrative,Marketing,,,,R&D,,,,Professional services,,Bachelor,,Science or mathematics,,,,,,,3,4,1,1,1,5,4,1,1,1,3,4,1,5,5,1,1,1,3,1,1,1,2,,Not at all,Not at all,"Yes, but not completely",Maybe a bit,Not at all,Not at all,Maybe a bit,Not at all,Not at all,"Yes, definitely","Yes, definitely",,,,"Networking, business to business",,,Learn about new developments in Data Science,Hear what's happening on the Belgian Data Science scene,,,
